2023-12-27 13:12:957 INFO  ContactUsPage :86 - Accepting the alert : 
2023-12-27 13:12:880 INFO  ContactUsPage :86 - Accepting the alert : 
2023-12-27 14:12:345 INFO  HomePage :144 - CLicking on [[ChromeDriver: chrome on windows (9963a36c7829aab718955ed1f80af3b3)] -> xpath: //ul[@class='nav navbar-nav']/li] header menu : [[[ChromeDriver: chrome on windows (9963a36c7829aab718955ed1f80af3b3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (9963a36c7829aab718955ed1f80af3b3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (9963a36c7829aab718955ed1f80af3b3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (9963a36c7829aab718955ed1f80af3b3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (9963a36c7829aab718955ed1f80af3b3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (9963a36c7829aab718955ed1f80af3b3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (9963a36c7829aab718955ed1f80af3b3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (9963a36c7829aab718955ed1f80af3b3)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2023-12-27 14:12:700 INFO  ContactUsPage :86 - Accepting the alert : 
2023-12-27 14:12:616 INFO  HomePage :140 - CLicking on [[ChromeDriver: chrome on windows (c1a8638dca3f44b93cb4dbe23daa4df3)] -> xpath: //ul[@class='nav navbar-nav']/li] header menu : [[[ChromeDriver: chrome on windows (c1a8638dca3f44b93cb4dbe23daa4df3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c1a8638dca3f44b93cb4dbe23daa4df3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c1a8638dca3f44b93cb4dbe23daa4df3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c1a8638dca3f44b93cb4dbe23daa4df3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c1a8638dca3f44b93cb4dbe23daa4df3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c1a8638dca3f44b93cb4dbe23daa4df3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c1a8638dca3f44b93cb4dbe23daa4df3)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on windows (c1a8638dca3f44b93cb4dbe23daa4df3)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2023-12-30 22:12:464 INFO  ProductPage :134 - Clicking on add to cart Button1 : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: (//a[@class='btn btn-default add-to-cart'][normalize-space()='Add to cart'])[1]]
2023-12-30 22:12:677 INFO  ProductPage :143 - Clicking on Right Arrow Button : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //u[normalize-space()='View Cart']]
2023-12-30 22:12:882 INFO  ProductPage :172 - Getting Text from : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //a[normalize-space()='Blue Top']]
2023-12-30 22:12:949 INFO  ProductPage :197 - Clicking on Right Arrow Button : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //a[normalize-space()='Proceed To Checkout']]
2023-12-30 22:12:48 INFO  PaymentPage :82 - Clicking on Register Link : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //u[normalize-space()='Register / Login']]
2023-12-30 22:12:202 INFO  SignUpPage :42 - Entering email Id into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> name: name]
2023-12-30 22:12:337 INFO  SignUpPage :46 - Entering email Id into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //input[@data-qa='signup-email']]
2023-12-30 22:12:586 INFO  SignUpPage :51 - Clicking on Log out Button : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //button[normalize-space()='Signup']]
2023-12-30 22:12:477 INFO  CreateAccountPage :106 - Getting text Enter Account information from : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> xpath: //b[normalize-space()='Enter Account Information']]
2023-12-30 22:12:560 INFO  CreateAccountPage :111 - Clicking on Title : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: id_gender2]
2023-12-30 22:12:756 INFO  CreateAccountPage :126 - Entering Password into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: password]
2023-12-30 22:12:981 INFO  CreateAccountPage :131 - Entering Day into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: days]
2023-12-30 22:12:274 INFO  CreateAccountPage :136 - Entering Month into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: months]
2023-12-30 22:12:479 INFO  CreateAccountPage :141 - Entering Year into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: years]
2023-12-30 22:12:757 INFO  CreateAccountPage :146 - Clicking on check box for newsletter : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: newsletter]
2023-12-30 22:12:983 INFO  CreateAccountPage :152 - Clicking on check box : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: optin]
2023-12-30 22:12:92 INFO  CreateAccountPage :157 - Entering First name into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: first_name]
2023-12-30 22:12:226 INFO  CreateAccountPage :162 - Entering Last name into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> name: last_name]
2023-12-30 22:12:383 INFO  CreateAccountPage :167 - Entering company name into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> name: company]
2023-12-30 22:12:621 INFO  CreateAccountPage :172 - Entering address into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: address1]
2023-12-30 22:12:844 INFO  CreateAccountPage :177 - Entering address2 into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: address2]
2023-12-30 22:12:102 INFO  CreateAccountPage :182 - Selecting Country into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: country]
2023-12-30 22:12:357 INFO  CreateAccountPage :187 - Entering State into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: state]
2023-12-30 22:12:585 INFO  CreateAccountPage :192 - Entering city into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: city]
2023-12-30 22:12:761 INFO  CreateAccountPage :197 - Entering Zipcode into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> name: zipcode]
2023-12-30 22:12:929 INFO  CreateAccountPage :202 - Entering mobile number into : [[ChromeDriver: chrome on windows (e17335b97a878119a9fa77d813fa0237)] -> id: mobile_number]
